Id,Name,ParentId,Ultimate_Parent_Id,Ultimate_Parent_Name,Hierarchy_Level,Hierarchy_Path
0018a00001tESdnAAG,7 For All Mankind & Splendid,,0018a00001tESdnAAG,7 For All Mankind & Splendid,0,7 For All Mankind & Splendid
0018a00001tE84aAAC,AccorHotels - Holding Account,,0018a00001tE84aAAC,AccorHotels - Holding Account,0,AccorHotels - Holding Account
001Mm00000TjxT6IAJ,Accor,0018a00001tE84aAAC,0018a00001tE84aAAC,AccorHotels - Holding Account,1,AccorHotels - Holding Account > Accor
0010h00001YagdOAAR,AccorHotels,0018a00001tE84aAAC,0018a00001tE84aAAC,AccorHotels - Holding Account,1,AccorHotels - Holding Account > AccorHotels
001E0000017srEOIAY,Banyan Tree Hotels & Resorts,0018a00001tE84aAAC,0018a00001tE84aAAC,AccorHotels - Holding Account,1,AccorHotels - Holding Account > Banyan Tree Hotels & Resorts
001E000000ShhG0IAJ,Fairmont Hotels & Resorts Inc,0018a00001tE84aAAC,0018a00001tE84aAAC,AccorHotels - Holding Account,1,AccorHotels - Holding Account > Fairmont Hotels & Resorts Inc
001Mm00000Egsf4IAB,Grand Mercure,0018a00001tE84aAAC,0018a00001tE84aAAC,AccorHotels - Holding Account,1,AccorHotels - Holding Account > Grand Mercure
001Mm00000EgvUtIAJ,Ibis Hotels,0018a00001tE84aAAC,0018a00001tE84aAAC,AccorHotels - Holding Account,1,AccorHotels - Holding Account > Ibis Hotels
001Mm00000EgmD6IAJ,MGallery,0018a00001tE84aAAC,0018a00001tE84aAAC,AccorHotels - Holding Account,1,AccorHotels - Holding Account > MGallery
001Mm00000EgnlrIAB,Mama Shelter,0018a00001tE84aAAC,0018a00001tE84aAAC,AccorHotels - Holding Account,1,AccorHotels - Holding Account > Mama Shelter
001Mm00000Egyu9IAB,Mantra Hotels,0018a00001tE84aAAC,0018a00001tE84aAAC,AccorHotels - Holding Account,1,AccorHotels - Holding Account > Mantra Hotels
001E000000ShhHMIAZ,Morgans Hotel Group Co. (Permanently Closed),0018a00001tE84aAAC,0018a00001tE84aAAC,AccorHotels - Holding Account,1,AccorHotels - Holding Account > Morgans Hotel Group Co. (Permanently Closed)
001Mm00000DV1nhIAD,M�venpick Hotels and Resorts Management AG,0018a00001tE84aAAC,0018a00001tE84aAAC,AccorHotels - Holding Account,1,AccorHotels - Holding Account > M�venpick Hotels and Resorts Management AG
001Mm00000Egn5uIAB,Pullman Hotels & Resorts,0018a00001tE84aAAC,0018a00001tE84aAAC,AccorHotels - Holding Account,1,AccorHotels - Holding Account > Pullman Hotels & Resorts
0018a000020s1FVAAY,Raffles Hotel,0018a00001tE84aAAC,0018a00001tE84aAAC,AccorHotels - Holding Account,1,AccorHotels - Holding Account > Raffles Hotel
0018a00002JaZATAA3,Rixos Hotels,0018a00001tE84aAAC,0018a00001tE84aAAC,AccorHotels - Holding Account,1,AccorHotels - Holding Account > Rixos Hotels
0018a00002Gk0iCAAR,"SBE Entertainment Group, LLC",0018a00001tE84aAAC,0018a00001tE84aAAC,AccorHotels - Holding Account,1,"AccorHotels - Holding Account > SBE Entertainment Group, LLC"
0018a00001tEURlAAO,Sofitel,0018a00001tE84aAAC,0018a00001tE84aAAC,AccorHotels - Holding Account,1,AccorHotels - Holding Account > Sofitel
001E000000ShhIsIAJ,Swissotel Hotels and Resorts,0018a00001tE84aAAC,0018a00001tE84aAAC,AccorHotels - Holding Account,1,AccorHotels - Holding Account > Swissotel Hotels and Resorts
0018a00001tEUxBAAW,21C Museum Hotel,001Mm00000TjxT6IAJ,0018a00001tE84aAAC,AccorHotels - Holding Account,2,AccorHotels - Holding Account > Accor > 21C Museum Hotel
001Mm00000EgkRNIAZ,25hours Hotels,0010h00001YagdOAAR,0018a00001tE84aAAC,AccorHotels - Holding Account,2,AccorHotels - Holding Account > AccorHotels > 25hours Hotels
001E000000Dai50IAB,Accor North America,001Mm00000TjxT6IAJ,0018a00001tE84aAAC,AccorHotels - Holding Account,2,AccorHotels - Holding Account > Accor > Accor North America
001Mm00000DUwt7IAD,Accor UK Business and Leisure Hotels Limited,001Mm00000TjxT6IAJ,0018a00001tE84aAAC,AccorHotels - Holding Account,2,AccorHotels - Holding Account > Accor > Accor UK Business and Leisure Hotels Limited
